paese,isrc,uri,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo;;;;;;;;;;;;;;;;;,all_genres
Bielorussia,RUA1D2416019,spotify:track:1Mm9DXmUXT2xiCQAZPEEaK,0.826,0.627,0.0339,0.103,0.0,0.864,131.0;;;;;;;;;;;;;;;;;,
"Bielorussia,USA2P2339030,spotify:track:2N0SPREDYqILVEFSsWF5N5,""['j-division', 'korean ost']"",0.633,0.607,0.0532,0.183,1.38e-06,0.363,74.029;;;;;;;;;;;;;;;;;",,,,,,,,,,
"Bielorussia,RUA1D2410577,spotify:track:05wSx129HwVCEpXpjAXn6X,""['russian hip hop', 'russian rave']"",0.695,0.813,0.0325,0.0456,0,0.629,99.996;;;;;;;;;;;;;;;;;",,,,,,,,,,
Bielorussia,DGA052355355,spotify:track:74JfQsOBIs7z4y6jDrbDmh,0.814,0.738,0.283,0.0855,0.0,0.507,152.112;;;;;;;;;;;;;;;;;,russian hip hop
Bielorussia,RUAGW2300175,spotify:track:11gTRcdz4wK32fghA2vrX7,0.788,0.544,0.324,0.141,0.0,0.411,75.474;;;;;;;;;;;;;;;;;,russian hip hop
Bielorussia,QZMZ92405962,spotify:track:5ktnJaccf1XbHRws28PlyK,0.74,0.519,0.0584,0.000416,0.00617,0.396,102.663;;;;;;;;;;;;;;;;;,
Bielorussia,RUA1D2438907,spotify:track:0lEQFpuJSpREmNlc2h3PA2,0.758,0.707,0.0526,0.223,0.0,0.564,93.947;;;;;;;;;;;;;;;;;,
Bielorussia,TCAHE2363357,spotify:track:1Za23uNH9LP4gcflnvAGCE,0.912,0.878,0.343,0.0565,0.000222,0.677,134.951;;;;;;;;;;;;;;;;;,
"Bielorussia,USA2P2411822,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,""['j-division', 'korean ost']"",0.466,0.601,0.053,0.0315,0,0.627,53.376;;;;;;;;;;;;;;;;;",,,,,,,,,,
Bielorussia,RUA1D2436552,spotify:track:62XPynwhhzYp7A0Q51MmYT,0.943,0.662,0.327,0.162,2.16e-05,0.906,124.067;;;;;;;;;;;;;;;;;,
Bielorussia,QZMZ92405961,spotify:track:4YfWMQ0M3FYOh71etUTmO7,0.598,0.415,0.133,0.00377,0.00223,0.398,172.349;;;;;;;;;;;;;;;;;,
"Bielorussia,FRX282412763,spotify:track:4YxRxVKi7IYUOR5p7nsYcp,""['russian drain', 'russian hip hop', 'russian trap']"",0.744,0.821,0.0645,0.0232,0,0.828,145.951;;;;;;;;;;;;;;;;;",,,,,,,,,,
